train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/learning_rate,time/time_elapsed
-0.273622065782547,0.01902555488049984,1728483,0.028137004002928734,0.1,14.72,1728584,48,-26.394740139999996,16.69016456604004,98156,0.0005,35506
0.394377738237381,0.018807638436555862,1728549,0.041927844285964966,0.09,14.66,1728650,48,-26.547034809999996,14.78925895690918,98160,0.0005,35507
0.6118552684783936,0.018981153145432472,1728601,0.029559722170233727,0.09,14.61,1728702,48,-26.715779930000004,15.368484497070312,98164,0.0005,35508
-0.19196180999279022,0.019083146005868912,1728648,0.025498831644654274,0.08,14.51,1728749,48,-27.10430896999999,16.266555786132812,98168,0.0005,35508
-0.19119608402252197,0.019099900498986244,1728704,0.051373545080423355,0.1,14.48,1728805,48,-26.61306802,16.8975830078125,98172,0.0005,35509
-0.17203186452388763,0.019052844494581223,1728753,0.04398497939109802,0.09,14.4,1728854,48,-27.07063165,16.880107879638672,98176,0.0005,35510
0.3350411057472229,0.019153166562318802,1728795,0.1250593066215515,0.08,14.27,1728896,48,-27.502182859999998,15.897912979125977,98180,0.0005,35511
-0.873399019241333,0.01919727958738804,1728842,0.12844231724739075,0.08,14.27,1728943,48,-27.518958030000007,15.437826156616211,98184,0.0005,35512
0.09209930896759033,0.018775559961795807,1728909,0.05410740152001381,0.07,14.35,1729010,48,-27.88646467,15.347723007202148,98188,0.0005,35513
-0.5283686518669128,0.01861422322690487,1728974,0.06105165183544159,0.08,14.45,1729075,48,-27.71501816,15.945969581604004,98192,0.0005,35514
0.18585070967674255,0.018643155694007874,1729047,0.05067524313926697,0.1,14.65,1729148,48,-27.163794149999998,15.645197868347168,98196,0.0005,35515
0.03277251124382019,0.01883474737405777,1729103,0.025028154253959656,0.11,14.63,1729204,48,-26.946266349999995,16.378772735595703,98200,0.0005,35516
0.5011098980903625,0.0189465694129467,1729149,0.03002157062292099,0.11,14.57,1729250,48,-26.97657443,16.605709075927734,98204,0.0005,35517
0.032160669565200806,0.019062839448451996,1729209,0.07784906774759293,0.12,14.51,1729310,48,-26.95282343,15.436788558959961,98208,0.0005,35518
-0.0966348946094513,0.019226135686039925,1729267,0.13593535125255585,0.12,14.55,1729368,48,-26.806172880000005,15.8648681640625,98212,0.0005,35519
-0.2896258234977722,0.019351927563548088,1729309,0.8397197723388672,0.12,14.46,1729410,48,-26.96130857,15.323530197143555,98216,0.0005,35520
0.25713422894477844,0.019519664347171783,1729358,0.027069218456745148,0.13,14.41,1729459,48,-26.941957780000003,15.426556587219238,98220,0.0005,35521
-0.8206809759140015,0.019413024187088013,1729415,0.027767494320869446,0.13,14.4,1729516,48,-26.808664780000004,15.288553237915039,98224,0.0005,35521
-0.7188510298728943,0.01910259574651718,1729477,0.10077770054340363,0.13,14.55,1729578,48,-26.703291749999998,16.410276412963867,98228,0.0005,35523
0.26722297072410583,0.019049061462283134,1729523,0.018747782334685326,0.13,14.28,1729624,48,-26.919283170000003,16.108694076538086,98232,0.0005,35523
-0.5645726919174194,0.01924319565296173,1729577,0.20713511109352112,0.14,13.94,1729678,48,-26.967814800000006,15.785396575927734,98236,0.0005,35524
-0.1717275083065033,0.019073879346251488,1729646,0.15294359624385834,0.14,14.02,1729747,48,-26.821534590000002,15.877981185913086,98240,0.0005,35525
0.390200674533844,0.01893828622996807,1729713,0.11362501233816147,0.12,13.99,1729814,48,-27.166457660000003,16.925006866455078,98244,0.0005,35527
0.7642699480056763,0.018721241503953934,1729783,0.046586401760578156,0.11,14.13,1729884,48,-27.402242239999996,15.593596458435059,98248,0.0005,35528
0.5302359461784363,0.019089318811893463,1729839,0.11009436845779419,0.11,14.07,1729940,48,-27.49003815,16.60407829284668,98252,0.0005,35529
0.19627372920513153,0.0194516871124506,1729888,0.06964340806007385,0.11,14.05,1729989,48,-27.49264735,16.904338836669922,98256,0.0005,35530
0.17001134157180786,0.01944301649928093,1729953,1.2876195907592773,0.12,14.04,1730054,48,-27.335710230000004,17.50502586364746,98260,0.0005,35541
0.973473310470581,0.01936890184879303,1729994,0.07768543809652328,0.12,13.93,1730095,48,-27.4072133,17.701854705810547,98264,0.0005,35542
-0.516327440738678,0.019363023340702057,1730072,0.13368871808052063,0.12,14.24,1730173,48,-27.082978490000002,15.719623565673828,98268,0.0005,35543
-0.5812098383903503,0.01932649128139019,1730122,0.01839319057762623,0.1,14.18,1730223,48,-27.71004619,15.650222778320312,98272,0.0005,35544
0.4534573554992676,0.019147729501128197,1730174,0.4259078800678253,0.1,14.21,1730275,48,-27.55406234,16.08938217163086,98276,0.0005,35545
0.04694777727127075,0.019091473892331123,1730237,0.020319093018770218,0.1,14.42,1730338,48,-27.16391499,16.937049865722656,98280,0.0005,35546
-0.2947254180908203,0.018719615414738655,1730296,0.05323393642902374,0.09,14.54,1730397,48,-27.23967673,14.68564224243164,98284,0.0005,35547
-0.5465511083602905,0.018765585497021675,1730351,0.031364284455776215,0.09,14.42,1730452,48,-27.387448910000003,15.492450714111328,98288,0.0005,35548
-0.10248029232025146,0.018740152940154076,1730410,0.2184770703315735,0.08,14.36,1730511,48,-27.553406979999995,16.10256576538086,98292,0.0005,35549
